date,total_for_foreign,total_cash,grand_total,exchange_rate,url
تـاريخ البيع - الثلاثاء 19-9-2017 والمنفذ يوم الاثنين 18-9-2017,"118,812,407","2,160,000","162,772,407",سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/124
تـاريخ البيع - الاربعاء 20-9-2017 والمنفذ يوم الثلاثاء 19-9-2017,"128,664,984","810,000","163,974,984",سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/125
تـاريخ البيع - الخميس 21-9-2017 والمنفذ يوم الاربعاء 20-9-2017,"145,291,507","16,950,000","162,241,507",سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/126
تـاريخ البيع - الاحد 24-9-2017,"111,966,241","41,260,000","153,226,241",سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/127
تـاريخ البيع - الاثنين 25-9-2017 والمنفذ يوم الاحد 24-9-2017,"113,115,408","40,020,000","153,135,408",سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/128
تـاريخ البيع - الثلاثاء 26-9-2017 والمنفذ يوم الاثنين 25-9-2017,"116,811,866","42,760,000","159,571,866",سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/130
تـاريخ البيع - الاربعاء 27-9-2017 والمنفذ يوم الثلاثاء 26-9-2017,"124,387,862","34,410,000","158,797,862",سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/131
تـاريخ البيع - الخميس 28-9-2017 والمنفذ يوم الاربعاء 27-9-2017 ,"137,111,937","14,380,000","151,491,937",سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/132
تـاريخ البيع - الأحد 1-10-2017 والمنفذ يوم الخميس 28-9-2017 ,"134,269,945","25,680,000","159,949,945",سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/133
تـاريخ البيع - الأثنين 2-10-2017,"108,829,531","40,750,000","149,579,531",سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/134
تـاريخ البيع - الثلاثاء 3-10-2017 والمنفذ يوم الاثنين 2-10-2017 ,"107,049,529","42,730,000","149,779,529",سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/135
تـاريخ البيع - الأربعاء 4-10-2017 والمنفذ يوم الثلاثاء 3-10-2017 ,"128,909,402","30,910,000","159,819,402",سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/136
تـاريخ البيع - الخميس 5-10-2017 والمنفذ يوم الأربعاء 4-10-2017 ,"139,733,938","17,950,000","157,683,938",سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/137
تـاريخ البيع - الاحد 8-10-2017 والمنفذ يوم الخميس 5-10-2017 ,"126,563,357","31,950,000","158,513,357",سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/138
تـاريخ البيع - الأثنين 9-10-2017 والمنفذ يوم الأحد 8-10-2017 ,"123,529,405","35,880,000","159,409,405",سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/139
