date,total_for_foreign,total_cash,grand_total,exchange_rate,url
تـاريخ البيع - الثلاثاء 19-9-2017 والمنفذ يوم الاثنين 18-9-2017,118812407.0,2160000.0,162772407.0,سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/124
تـاريخ البيع - الاربعاء 20-9-2017 والمنفذ يوم الثلاثاء 19-9-2017,128664984.0,810000.0,163974984.0,سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/125
تـاريخ البيع - الخميس 21-9-2017 والمنفذ يوم الاربعاء 20-9-2017,145291507.0,16950000.0,162241507.0,سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/126
تـاريخ البيع - الاحد 24-9-2017,111966241.0,41260000.0,153226241.0,سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/127
تـاريخ البيع - الاثنين 25-9-2017 والمنفذ يوم الاحد 24-9-2017,113115408.0,40020000.0,153135408.0,سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/128
تـاريخ البيع - الثلاثاء 26-9-2017 والمنفذ يوم الاثنين 25-9-2017,116811866.0,42760000.0,159571866.0,سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/130
تـاريخ البيع - الاربعاء 27-9-2017 والمنفذ يوم الثلاثاء 26-9-2017,124387862.0,34410000.0,158797862.0,سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/131
تـاريخ البيع - الخميس 28-9-2017 والمنفذ يوم الاربعاء 27-9-2017 ,137111937.0,14380000.0,151491937.0,سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/132
تـاريخ البيع - الأحد 1-10-2017 والمنفذ يوم الخميس 28-9-2017 ,134269945.0,25680000.0,159949945.0,سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/133
تـاريخ البيع - الأثنين 2-10-2017,108829531.0,40750000.0,149579531.0,سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/134
تـاريخ البيع - الثلاثاء 3-10-2017 والمنفذ يوم الاثنين 2-10-2017 ,107049529.0,42730000.0,149779529.0,سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/135
تـاريخ البيع - الأربعاء 4-10-2017 والمنفذ يوم الثلاثاء 3-10-2017 ,128909402.0,30910000.0,159819402.0,سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/136
تـاريخ البيع - الخميس 5-10-2017 والمنفذ يوم الأربعاء 4-10-2017 ,139733938.0,17950000.0,157683938.0,سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/137
تـاريخ البيع - الاحد 8-10-2017 والمنفذ يوم الخميس 5-10-2017 ,126563357.0,31950000.0,158513357.0,سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/138
تـاريخ البيع - الأثنين 9-10-2017 والمنفذ يوم الأحد 8-10-2017 ,123529405.0,35880000.0,159409405.0,سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/139
تـاريخ البيع - الثلاثاء 10-10-2017 والمنفذ يوم الأثنين 9-10-2017 ,120443492.0,38560000.0,159003492.0,سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/140
تـاريخ البيع - الأربعاء 11-10-2017 والمنفذ يوم الثلاثاء 10-10-2017 ,126755026.0,33070000.0,159825026.0,سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/141
تـاريخ البيع - الخميس 12-10-2017 والمنفذ يوم الأربعاء 11-10-2017 ,138103890.0,22120000.0,160223890.0,سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/142
تـاريخ البيع - الاحد 15-10-2017 والمنفذ يوم الخميس 12-10-2017 ,104913095.0,40020000.0,144933095.0,سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/143
